,Name,Year,Rating,Metascore,Vote,Description,Certificate,Runtime,Genre,Director,Stars,Earning
0,Avengers: Infinity War,(2018),8.5,68        ,"779,778","
    The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.",PG-13,149 min,"
Action, Adventure, Sci-Fi            ",Anthony Russo,"['Joe Russo', 'Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans']",$678.82M
1,Black Panther,(2018),7.3,88        ,"584,182","
    T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",PG-13,134 min,"
Action, Adventure, Sci-Fi            ",Ryan Coogler,"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o"", 'Danai Gurira']",$700.06M
2,Deadpool 2,(2018),7.7,66        ,"453,005","
    Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",R,119 min,"
Action, Adventure, Comedy            ",David Leitch,"['Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin', 'Julian Dennison']",$324.59M
3,Bohemian Rhapsody,(2018),8.0,No metascore,"425,869","
    The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",PG-13,134 min,"
Biography, Drama, Music            ",Bryan Singer,"['Rami Malek', 'Lucy Boynton', 'Gwilym Lee', 'Ben Hardy']",$216.43M
4,A Quiet Place,(2018),7.5,82        ,"383,113","
    In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.",PG-13,90 min,"
Drama, Horror, Sci-Fi            ",John Krasinski,"['Emily Blunt', 'John Krasinski', 'Millicent Simmonds', 'Noah Jupe']",$188.02M
5,Ready Player One,(2018),7.5,64        ,"345,451","
    When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",PG-13,140 min,"
Action, Adventure, Sci-Fi            ",Steven Spielberg,"['Tye Sheridan', 'Olivia Cooke', 'Ben Mendelsohn', 'Lena Waithe']",$137.69M
6,Aquaman,(2018),7.0,No metascore,"339,691","
    Arthur Curry (Jason Momoa), the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",PG-13,143 min,"
Action, Adventure, Fantasy            ",James Wan,"['Jason Momoa', 'Amber Heard', 'Willem Dafoe', 'Patrick Wilson']",$335.06M
7,Venom,(2018),6.7,No metascore,"334,279","
    A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",PG-13,112 min,"
Action, Adventure, Sci-Fi            ",Ruben Fleischer,"['Tom Hardy', 'Michelle Williams', 'Riz Ahmed', 'Scott Haze']",$213.52M
8,Green Book,(2018),8.2,69        ,"327,181","
    A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.",PG-13,130 min,"
Biography, Comedy, Drama            ",Peter Farrelly,"['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini', 'Sebastian Maniscalco']",$85.08M
9,Spider-Man: Into the Spider-Verse,(2018),8.4,87        ,"321,645","
    Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities.",PG,117 min,"
Animation, Action, Adventure            ",Bob Persichetti,"['Peter Ramsey', 'Rodney Rothman', 'Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld', 'Mahershala Ali']",$190.24M
10,A Star Is Born,(2018),7.7,88        ,"310,588","
    A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.",R,136 min,"
Drama, Music, Romance            ",Bradley Cooper,"['Lady Gaga', 'Bradley Cooper', 'Sam Elliott', 'Greg Grunberg']",$215.29M
11,Ant-Man and the Wasp,(2018),7.1,70        ,"288,964","
    As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",PG-13,118 min,"
Action, Adventure, Comedy            ",Peyton Reed,"['Paul Rudd', 'Evangeline Lilly', 'Michael Peña', 'Walton Goggins']",$216.65M
12,Mission: Impossible - Fallout,(2018),7.7,86        ,"274,241","
    Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",PG-13,147 min,"
Action, Adventure, Thriller            ",Christopher McQuarrie,"['Tom Cruise', 'Henry Cavill', 'Ving Rhames', 'Simon Pegg']",$220.16M
13,Solo: A Star Wars Story,(2018),6.9,62        ,"272,158","
    During an adventure into the criminal underworld, Han Solo meets his future co-pilot Chewbacca and encounters Lando Calrissian years before joining the Rebellion.",PG-13,135 min,"
Action, Adventure, Sci-Fi            ",Ron Howard,"['Alden Ehrenreich', 'Woody Harrelson', 'Emilia Clarke', 'Donald Glover']",$213.77M
14,Annihilation,(2018),6.9,79        ,"265,629","
    A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",R,115 min,"
Adventure, Drama, Horror            ",Alex Garland,"['Natalie Portman', 'Jennifer Jason Leigh', 'Tessa Thompson', 'Benedict Wong']",$32.73M
15,Bird Box,(2018),6.6,No metascore,"260,411","
    Five years after an ominous unseen presence drives most of society to suicide, a mother and her two children make a desperate bid to reach safety.",R,124 min,"
Drama, Horror, Sci-Fi            ",Susanne Bier,"['Sandra Bullock', 'Trevante Rhodes', 'John Malkovich', 'Sarah Paulson']",No Gross
16,Jurassic World: Fallen Kingdom,(2018),6.2,No metascore,"250,095","
    When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",PG-13,128 min,"
Action, Adventure, Sci-Fi            ",J.A. Bayona,"['Chris Pratt', 'Bryce Dallas Howard', 'Rafe Spall', 'Justice Smith']",$417.72M
17,Incredibles 2,(2018),7.6,80        ,"234,777","
    The Incredibles hero family takes on a new mission, which involves a change in family roles: Bob Parr (Mr Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.",PG,118 min,"
Animation, Action, Adventure            ",Brad Bird,"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell', 'Huck Milner']",$608.58M
18,Hereditary,(2018),7.3,87        ,"211,017","
    A grieving family is haunted by tragic and disturbing occurrences.",R,127 min,"
Drama, Horror, Mystery            ",Ari Aster,"['Toni Collette', 'Milly Shapiro', 'Gabriel Byrne', 'Alex Wolff']",$44.07M
19,Fantastic Beasts: The Crimes of Grindelwald,(2018),6.6,No metascore,"203,967","
    The second installment of the ""Fantastic Beasts"" series featuring the adventures of Magizoologist Newt Scamander.",PG-13,134 min,"
Adventure, Family, Fantasy            ",David Yates,"['Eddie Redmayne', 'Katherine Waterston', 'Dan Fogler', 'Johnny Depp']",$159.56M
20,BlacKkKlansman,(2018),7.5,83        ,"194,213","
Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events.",R,135 min,"
Biography, Crime, Drama            ",Spike Lee,"['John David Washington', 'Adam Driver', 'Laura Harrier', 'Topher Grace']",$49.28M
21,Game Night,(I) (2018),6.9,66        ,"192,256","
    A group of friends who meet regularly for game nights find themselves entangled in a real-life mystery when the shady brother of one of them is seemingly kidnapped by dangerous gangsters.",R,100 min,"
Action, Comedy, Crime            ",John Francis Daley,"['Jonathan Goldstein', 'Jason Bateman', 'Rachel McAdams', 'Kyle Chandler', 'Sharon Horgan']",$69.18M
22,Tomb Raider,(2018),6.3,No metascore,"182,684","
    Lara Croft (Alicia Vikander), the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she discovers the island where her father, Lord Richard Croft (Dominic West) disappeared.",PG-13,119 min,"
Action, Adventure, Fantasy            ",Roar Uthaug,"['Alicia Vikander', 'Dominic West', 'Walton Goggins', 'Daniel Wu']",$58.25M
23,Ocean's 8,(2018),6.2,61        ,"171,016","
    Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala.",PG-13,110 min,"
Action, Comedy, Crime            ",Gary Ross,"['Sandra Bullock', 'Cate Blanchett', 'Anne Hathaway', 'Mindy Kaling']",$140.22M
24,The Favourite,(2018),7.5,91        ,"159,332","
    In early 18th century England, a frail Queen Anne occupies the throne and her close friend, Lady Sarah, governs the country in her stead. When a new servant, Abigail, arrives, her charm endears her to Sarah.",R,119 min,"
Biography, Comedy, Drama            ",Yorgos Lanthimos,"['Olivia Colman', 'Emma Stone', 'Rachel Weisz', 'Nicholas Hoult']",$34.37M
25,Red Sparrow,(2018),6.6,No metascore,"156,594","
    Ballerina Dominika Egorova is recruited to 'Sparrow School,' a Russian intelligence service where she is forced to use her body as a weapon. Her first mission, targeting a C.I.A. agent, threatens to unravel the security of both nations.",R,140 min,"
Action, Drama, Thriller            ",Francis Lawrence,"['Jennifer Lawrence', 'Joel Edgerton', 'Matthias Schoenaerts', 'Charlotte Rampling']",$46.87M
26,First Man,(2018),7.3,84        ,"154,213","
    A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969.",PG-13,141 min,"
Biography, Drama, History            ",Damien Chazelle,"['Ryan Gosling', 'Claire Foy', 'Jason Clarke', 'Kyle Chandler']",$44.94M
27,The Haunting of Hill House,(2018– ),8.7,No metascore,"147,645","
    Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.",TV-MA,50 min,"
Drama, Horror, Mystery            ",Henry Thomas,"['Oliver Jackson-Cohen', 'Kate Siegel', 'Victoria Pedretti']",No Gross
28,Upgrade,(2018),7.5,67        ,"138,461","
    Set in the near-future, technology controls nearly all aspects of life. But when the world of Grey, a self-labeled technophobe, is turned upside down, his only hope for revenge is an experimental computer chip implant.",R,100 min,"
Action, Horror, Sci-Fi            ",Leigh Whannell,"['Logan Marshall-Green', 'Melanie Vallejo', 'Steve Danielsen', 'Abby Craden']",$11.98M
29,The Meg,(2018),5.7,No metascore,"136,830","
    A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.",PG-13,113 min,"
Action, Horror, Sci-Fi            ",Jon Turteltaub,"['Jason Statham', 'Bingbing Li', 'Rainn Wilson', 'Cliff Curtis']",$143.01M
30,Rampage,(2018),6.1,No metascore,"134,639","
    When three different animals become infected with a dangerous pathogen, a primatologist and a geneticist team up to stop them from destroying Chicago.",PG-13,107 min,"
Action, Adventure, Sci-Fi            ",Brad Peyton,"['Dwayne Johnson', 'Naomie Harris', 'Malin Akerman', 'Jeffrey Dean Morgan']",$101.03M
31,Altered Carbon,(2018– ),8.1,No metascore,"133,230","
    Set in a future where consciousness is digitized and stored, a prisoner returns to life in a new body and must solve a mind-bending murder to win his freedom.",TV-MA,60 min,"
Action, Drama, Sci-Fi            ",Chris Conner,"['Renée Elise Goldsberry', 'Will Yun Lee', 'Dichen Lachman']",No Gross
32,Roma,(2018),7.7,96        ,"131,461","
    A year in the life of a middle-class family's maid in Mexico City in the early 1970s.",R,135 min,"
Drama            ",Alfonso Cuarón,"['Yalitza Aparicio', 'Marina de Tavira', 'Diego Cortina Autrey', 'Carlos Peralta']",No Gross
33,Isle of Dogs,(2018),7.9,82        ,"129,468","
    Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.",PG-13,101 min,"
Animation, Adventure, Comedy            ",Wes Anderson,"['Bryan Cranston', 'Koyu Rankin', 'Edward Norton', 'Bob Balaban']",$32.02M
34,Crazy Rich Asians,(2018),6.9,74        ,"127,542","
    This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.",PG-13,120 min,"
Comedy, Drama, Romance            ",Jon M. Chu,"['Constance Wu', 'Henry Golding', 'Michelle Yeoh', 'Gemma Chan']",$174.53M
35,Bumblebee,(I) (2018),6.8,66        ,"126,519","
    On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small California beach town. On the cusp of turning 18 and trying to find her place in the world, Charlie Watson discovers Bumblebee, battle-scarred and broken.",PG-13,114 min,"
Action, Adventure, Sci-Fi            ",Travis Knight,"['Hailee Steinfeld', 'Jorge Lendeborg Jr.', 'John Cena', 'Jason Drucker']",$127.20M
36,Searching,(III) (2018),7.6,71        ,"126,248","
    After his 16-year-old daughter goes missing, a desperate father breaks into her laptop to look for clues to find her.",PG-13,102 min,"
Drama, Mystery, Thriller            ",Aneesh Chaganty,"['John Cho', 'Debra Messing', 'Joseph Lee', 'Michelle La']",$26.02M
37,You,(2018– ),7.8,No metascore,"124,744","
    A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.",TV-MA,45 min,"
Crime, Drama, Romance            ",Penn Badgley,"['Ambyr Childers', 'Victoria Pedretti', 'Elizabeth Lail']",No Gross
38,Ralph Breaks the Internet,(2018),7.1,71        ,"120,490","
    Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.",PG,112 min,"
Animation, Adventure, Comedy            ",Phil Johnston,"['Rich Moore', 'John C. Reilly', 'Sarah Silverman', 'Gal Gadot', 'Taraji P. Henson']",$201.09M
39,Bad Times at the El Royale,(2018),7.1,No metascore,"120,081","
    Early 1970s. Four strangers check in at the El Royale Hotel. The hotel is deserted, staffed by a single desk clerk. Some of the new guests' reasons for being there are less than innocent and some are not who they appear to be.",R,141 min,"
Crime, Drama, Mystery            ",Drew Goddard,"['Jeff Bridges', 'Cynthia Erivo', 'Dakota Johnson', 'Jon Hamm']",$17.84M
40,The Equalizer 2,(2018),6.7,No metascore,"119,713","
    Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?",R,121 min,"
Action, Crime, Thriller            ",Antoine Fuqua,"['Denzel Washington', 'Pedro Pascal', 'Ashton Sanders', 'Orson Bean']",$102.08M
41,Sicario: Day of the Soldado,(2018),7.1,61        ,"116,223","
    The drug war on the U.S.-Mexico border has escalated as the cartels have begun trafficking terrorists across the US border. To fight the war, federal agent Matt Graver re-teams with the mercurial Alejandro.",R,122 min,"
Action, Adventure, Crime            ",Stefano Sollima,"['Benicio Del Toro', 'Josh Brolin', 'Isabela Merced', 'Jeffrey Donovan']",$50.07M
42,A Simple Favor,(2018),6.8,67        ,"114,319","
    Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.",R,117 min,"
Comedy, Crime, Drama            ",Paul Feig,"['Anna Kendrick', 'Blake Lively', 'Henry Golding', 'Andrew Rannells']",$53.55M
43,The Ballad of Buster Scruggs,(2018),7.3,79        ,"111,221","
    Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters.",R,133 min,"
Comedy, Drama, Musical            ",Ethan Coen,"['Joel Coen', 'Tim Blake Nelson', 'Willie Watson', 'Clancy Brown', 'Danny McCarthy']",No Gross
44,The Predator,(2018),5.4,No metascore,"110,540","
    When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.",R,107 min,"
Action, Adventure, Sci-Fi            ",Shane Black,"['Boyd Holbrook', 'Trevante Rhodes', 'Jacob Tremblay', 'Keegan-Michael Key']",$51.02M
45,Halloween,(I) (2018),6.6,67        ,"109,580","
    Laurie Strode confronts her long-time foe Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.",R,106 min,"
Horror, Thriller            ",David Gordon Green,"['Jamie Lee Curtis', 'Judy Greer', 'Andi Matichak', 'James Jude Courtney']",$159.34M
46,The Nun,(2018),5.3,No metascore,"109,505","
    A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.",R,96 min,"
Horror, Mystery, Thriller            ",Corin Hardy,"['Demián Bichir', 'Taissa Farmiga', 'Jonas Bloquet', 'Bonnie Aarons']",$117.45M
