,Name,Year,Rating,Metascore,Vote,Description,Certificate,Runtime,Genre,Director,Stars,Earning
47,Vice,(I) (2018),7.2,61        ,"109,089","
    The story of Dick Cheney, an unassuming bureaucratic Washington insider, who quietly wielded immense power as Vice President to George W. Bush, reshaping the country and the globe in ways that we still feel today.",R,132 min,"
Biography, Comedy, Drama            ",Adam McKay,"['Christian Bale', 'Amy Adams', 'Steve Carell', 'Sam Rockwell']",$47.84M
48,Black Mirror: Bandersnatch,(2018 TV Movie),7.2,No metascore,"107,474","
    A young programmer starts to question reality when he adapts a mad writer's fantasy novel into a video game.",TV-MA,90 min,"
Drama, Mystery, Sci-Fi            ",David Slade,"['Fionn Whitehead', 'Craig Parkinson', 'Alice Lowe', 'Asim Chaudhry']",No Gross
49,Tag,(I) (2018),6.5,No metascore,"105,448","
    A small group of former classmates organize an elaborate, annual game of tag that requires some to travel all over the country.",R,100 min,"
Comedy            ",Jeff Tomsic,"['Jeremy Renner', 'Ed Helms', 'Jake Johnson', 'Jon Hamm']",$54.55M
50,Maze Runner: The Death Cure,(2018),6.2,No metascore,"104,954","
    Young hero Thomas embarks on a mission to find a cure for a deadly disease known as ""The Flare"".",PG-13,143 min,"
Action, Adventure, Sci-Fi            ",Wes Ball,"[""Dylan O'Brien"", 'Ki Hong Lee', 'Kaya Scodelario', 'Thomas Brodie-Sangster']",$58.03M
51,Pacific Rim: Uprising,(2018),5.6,No metascore,"101,109","
    Jake Pentecost, son of Stacker Pentecost, reunites with Mako Mori to lead a new generation of Jaeger pilots, including rival Lambert and 15-year-old hacker Amara, against a new Kaiju threat.",PG-13,111 min,"
Action, Adventure, Sci-Fi            ",Steven S. DeKnight,"['John Boyega', 'Scott Eastwood', 'Cailee Spaeny', 'Burn Gorman']",$59.87M
52,The Commuter,(I) (2018),6.3,No metascore,"98,060","
    An action-thriller in which an insurance salesman/ex-cop is caught up in a life-threatening conspiracy during his daily commute home.",PG-13,105 min,"
Action, Mystery, Thriller            ",Jaume Collet-Serra,"['Liam Neeson', 'Vera Farmiga', 'Patrick Wilson', 'Jonathan Banks']",$36.34M
53,Skyscraper,(2018),5.8,No metascore,"97,755","
    A security expert must infiltrate a burning skyscraper, 225 stories above ground, when his family is trapped inside by criminals.",PG-13,102 min,"
Action, Adventure, Thriller            ",Rawson Marshall Thurber,"['Dwayne Johnson', 'Neve Campbell', 'Chin Han', 'Roland Møller']",$68.42M
54,The Mule,(2018),7.0,No metascore,"97,548","
    A ninety-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.",R,116 min,"
Crime, Drama, Thriller            ",Clint Eastwood,"['Clint Eastwood', 'Patrick L. Reyes', 'Cesar De León', 'Gustavo Muñoz']",$103.80M
55,Creed II,(2018),7.1,66        ,"97,051","
    Under the tutelage of Rocky Balboa, newly crowned heavyweight champion Adonis Creed faces off against Viktor Drago, the son of Ivan Drago.",PG-13,130 min,"
Drama, Sport            ",Steven Caple Jr.,"['Michael B. Jordan', 'Sylvester Stallone', 'Tessa Thompson', 'Phylicia Rashad']",$115.72M
56,Mortal Engines,(2018),6.1,No metascore,"95,205","
    In a post-apocalyptic world where cities ride on wheels and consume each other to survive, two people meet in London and try to stop a conspiracy.",PG-13,128 min,"
Action, Adventure, Fantasy            ",Christian Rivers,"['Hera Hilmar', 'Robert Sheehan', 'Hugo Weaving', 'Jihae']",$15.95M
57,"Love, Simon",(2018),7.6,72        ,"92,145","
    Simon Spier keeps a huge secret from his family, his friends and all of his classmates: he's gay. When that secret is threatened, Simon must face everyone and come to terms with his identity.",PG-13,110 min,"
Comedy, Drama, Romance            ",Greg Berlanti,"['Nick Robinson', 'Jennifer Garner', 'Josh Duhamel', 'Katherine Langford']",$40.83M
58,The Cloverfield Paradox,(2018),5.5,No metascore,"91,230","
    Orbiting a planet on the brink of war, scientists test a device to solve an energy crisis, and end up face-to-face with a dark alternate reality.",PG-13,102 min,"
Adventure, Drama, Horror            ",Julius Onah,"['Gugu Mbatha-Raw', 'David Oyelowo', 'Daniel Brühl', 'John Ortiz']",No Gross
59,Den of Thieves,(2018),7.0,No metascore,"86,264","
    An elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew clash as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.",R,140 min,"
Action, Crime, Drama            ",Christian Gudegast,"['Gerard Butler', 'Pablo Schreiber', ""O'Shea Jackson Jr."", '50 Cent']",$44.95M
60,Bodyguard,(2018– ),8.1,No metascore,"84,330","
    A contemporary thriller featuring the Royalty and Specialist Protection Branch of London's Metropolitan Police Service.",TV-MA,60 min,"
Crime, Drama, Thriller            ",Richard Madden,"['Sophie Rundle', 'Vincent Franklin', 'Ash Tandon']",No Gross
61,Widows,(2018),6.9,84        ,"80,750","
    Set in contemporary Chicago, amid a time of turmoil, four women with nothing in common except a debt left behind by their dead husbands' criminal activities, take fate into their own hands, and conspire to forge a future on their own terms.",R,129 min,"
Crime, Drama, Thriller            ",Steve McQueen,"['Viola Davis', 'Michelle Rodriguez', 'Elizabeth Debicki']",$42.40M
62,Tom Clancy's Jack Ryan,(2018– ),8.1,No metascore,"80,610","
    An up-and-coming CIA analyst, Jack Ryan, is thrust into a dangerous field assignment as he uncovers a pattern in terrorist communication that launches him into the center of a dangerous gambit.",TV-MA,60 min,"
Action, Drama, Thriller            ",John Krasinski,"['Wendell Pierce', 'John Hoogenakker', 'Abbie Cornish']",No Gross
63,To All the Boys I've Loved Before,(2018),7.2,64        ,"79,202","
    A teenage girl's secret love letters are exposed and wreak havoc on her love life.",TV-14,99 min,"
Comedy, Drama, Romance            ",Susan Johnson,"['Lana Condor', 'Noah Centineo', 'Janel Parrish', 'Anna Cathcart']",No Gross
64,Overlord,(2018),6.6,No metascore,"77,575","
    A small group of American soldiers find horror behind enemy lines on the eve of D-Day.",R,110 min,"
Action, Adventure, Horror            ",Julius Avery,"['Jovan Adepo', 'Wyatt Russell', 'Mathilde Ollivier', 'Pilou Asbæk']",$21.70M
65,Killing Eve,(2018– ),8.3,No metascore,"73,845","
    After a series of events, the lives of a security operative and an assassin become inextricably linked.",TV-14,42 min,"
Action, Adventure, Drama            ",Jodie Comer,"['Sandra Oh', 'Fiona Shaw', 'Kim Bodnia']",No Gross
66,Instant Family,(2018),7.3,No metascore,"72,927","
    A couple find themselves in over their heads when they foster three children.",PG-13,118 min,"
Comedy, Drama            ",Sean Anders,"['Mark Wahlberg', 'Rose Byrne', 'Isabela Merced', 'Gustavo Escobar']",$67.36M
67,Mamma Mia! Here We Go Again,(2018),6.7,No metascore,"72,915","
    Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past.",PG-13,114 min,"
Comedy, Musical, Romance            ",Ol Parker,"['Lily James', 'Amanda Seyfried', 'Meryl Streep', 'Cher']",$120.63M
68,Mary Poppins Returns,(2018),6.7,66        ,"71,547","
    A few decades after her original visit, Mary Poppins, the magical nanny, returns to help the Banks siblings and Michael's children through a difficult time in their lives.",PG,130 min,"
Comedy, Family, Fantasy            ",Rob Marshall,"['Emily Blunt', 'Lin-Manuel Miranda', 'Ben Whishaw', 'Emily Mortimer']",$171.96M
69,Lost in Space,(2018– ),7.3,No metascore,"68,903","
    After crash-landing on an alien planet, the Robinson family fight against all odds to survive and escape, but they're surrounded by hidden dangers.",TV-PG,60 min,"
Adventure, Drama, Family            ",Molly Parker,"['Toby Stephens', 'Maxwell Jenkins', 'Taylor Russell']",No Gross
70,Sacred Games,(2018– ),8.7,No metascore,"67,692","
    A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.",TV-MA,50 min,"
Action, Crime, Drama            ",Saif Ali Khan,"['Nawazuddin Siddiqui', 'Neeraj Kabi', 'Aamir Bashir']",No Gross
71,Blockers,(2018),6.2,69        ,"67,292","
    Three parents try to stop their daughters from losing their virginity on prom night.",R,102 min,"
Comedy            ",Kay Cannon,"['Leslie Mann', 'John Cena', 'Ike Barinholtz', 'Kathryn Newton']",$60.31M
72,Chilling Adventures of Sabrina,(2018– ),7.6,No metascore,"66,203","
    As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic.",TV-14,60 min,"
Drama, Fantasy, Horror            ",Kiernan Shipka,"['Ross Lynch', 'Lucy Davis', 'Chance Perdomo']",No Gross
73,Christopher Robin,(2018),7.3,No metascore,"64,486","
    A working-class family man, Christopher Robin, encounters his childhood friend Winnie-the-Pooh, who helps him to rediscover the joys of life.",PG,104 min,"
Comedy, Drama, Family            ",Marc Forster,"['Ewan McGregor', 'Hayley Atwell', 'Bronte Carmichael', 'Mark Gatiss']",$99.22M
74,The Spy Who Dumped Me,(2018),6.0,No metascore,"63,690","
    Audrey and Morgan are best friends who unwittingly become entangled in an international conspiracy when one of the women discovers the boyfriend who dumped her was actually a spy.",R,117 min,"
Action, Adventure, Comedy            ",Susanna Fogel,"['Justin Theroux', 'Blanka Györfi-Tóth', 'Vilma Szécsi', 'Mila Kunis']",$33.56M
75,12 Strong,(2018),6.5,No metascore,"62,785","
    12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down the Taliban.",R,130 min,"
Action, Drama, History            ",Nicolai Fuglsig,"['Chris Hemsworth', 'Michael Shannon', 'Michael Peña', 'Navid Negahban']",$45.50M
76,Andhadhun,(2018),8.3,No metascore,"61,969","
    A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",Not Rated,139 min,"
Crime, Thriller            ",Sriram Raghavan,"['Ayushmann Khurrana', 'Tabu', 'Radhika Apte', 'Anil Dhawan']",$1.37M
77,Sharp Objects,(2018),8.2,No metascore,"61,329","
    A reporter confronts the psychological demons from her past when she returns to her hometown to cover a violent murder.",TV-MA,421 min,"
Crime, Drama, Mystery            ",Amy Adams,"['Patricia Clarkson', 'Chris Messina', 'Eliza Scanlen']",No Gross
78,Mile 22,(2018),6.1,No metascore,"61,007","
    A small team of elite American intelligence officers, part of a top-secret tactical command unit, try to smuggle a mysterious police officer with sensitive information out of Indonesia.",R,94 min,"
Action, Thriller            ",Peter Berg,"['Mark Wahlberg', 'Lauren Cohan', 'Iko Uwais', 'John Malkovich']",$36.11M
79,Maniac,(2018),7.8,No metascore,"60,277","
    Two strangers are drawn to a mysterious pharmaceutical trial for a drug that will, they're assured, with no complications or side-effects whatsoever, solve all of their problems permanently. Things do not go as planned.",TV-MA,40 min,"
Comedy, Drama, Sci-Fi            ",Jonah Hill,"['Emma Stone', 'Sonoya Mizuno', 'Justin Theroux']",No Gross
80,Death Wish,(2018),6.4,No metascore,"59,983","
    Dr. Paul Kersey is an experienced trauma surgeon, a man who has spent his life saving lives. After an attack on his family, Paul embarks on his own mission for justice.",R,107 min,"
Action, Crime, Drama            ",Eli Roth,"['Bruce Willis', ""Vincent D'Onofrio"", 'Elisabeth Shue', 'Camila Morrone']",$34.02M
81,Titans,(I) (2018– ),7.8,No metascore,"59,398","
    A team of young superheroes combat evil and other perils.",TV-MA,45 min,"
Action, Adventure, Crime            ",Brenton Thwaites,"['Teagan Croft', 'Anna Diop', 'Ryan Potter']",No Gross
82,Robin Hood,(2018),5.3,No metascore,"59,038","
    A war-hardened Crusader and his Moorish commander mount an audacious revolt against the corrupt English crown.",PG-13,116 min,"
Action, Adventure, Drama            ",Otto Bathurst,"['Taron Egerton', 'Jamie Foxx', 'Ben Mendelsohn', 'Eve Hewson']",$30.82M
83,Johnny English Strikes Again,(2018),6.2,No metascore,"58,173","
    After a cyber-attack reveals the identity of all of the active undercover agents in Britain, Johnny English (Rowan Atkinson) is forced to come out of retirement to find the mastermind hacker.",PG,89 min,"
Action, Adventure, Comedy            ",David Kerr,"['Rowan Atkinson', 'Ben Miller', 'Olga Kurylenko', 'Emma Thompson']",$4.41M
84,Mandy,(I) (2018),6.6,81        ,"57,463","
    The enchanted lives of a couple in a secluded forest are brutally shattered by a nightmarish hippie cult and their demon-biker henchmen, propelling a man into a spiraling, surreal rampage of vengeance.",Not Rated,121 min,"
Action, Fantasy, Horror            ",Panos Cosmatos,"['Casper Kelly', 'Nicolas Cage', 'Andrea Riseborough', 'Linus Roache', 'Ned Dennehy']",$1.21M
85,Eighth Grade,(2018),7.4,89        ,"57,053","
    An introverted teenage girl tries to survive the last week of her disastrous eighth grade year before leaving to start high school.",R,93 min,"
Comedy, Drama            ",Bo Burnham,"['Elsie Fisher', 'Josh Hamilton', 'Emily Robinson', 'Jake Ryan']",$13.54M
86,Sorry to Bother You,(2018),6.9,80        ,"55,139","
    In an alternate present-day version of Oakland, telemarketer Cassius Green discovers a magical key to professional success, propelling him into a universe of greed.",R,112 min,"
Comedy, Fantasy, Sci-Fi            ",Boots Riley,"['LaKeith Stanfield', 'Tessa Thompson', 'Jermaine Fowler', 'Omari Hardwick']",$17.49M
87,Outlaw King,(2018),6.9,No metascore,"55,134","
    A true David vs. Goliath story of how the 14th century Scottish 'Outlaw King' Robert the Bruce used cunning and bravery to defeat the much larger and better equipped occupying English army.",R,121 min,"
Action, Biography, Drama            ",David Mackenzie,"['Chris Pine', 'Stephen Dillane', 'Rebecca Robin', 'Billy Howle']",No Gross
88,Suspiria,(I) (2018),6.8,64        ,"54,769","
    A darkness swirls at the center of a world-renowned dance company, one that will engulf the artistic director, an ambitious young dancer, and a grieving psychotherapist. Some will succumb to the nightmare. Others will finally wake up.",R,152 min,"
Fantasy, Horror, Mystery            ",Luca Guadagnino,"['Chloë Grace Moretz', 'Tilda Swinton', 'Doris Hick', 'Malgorzata Bela']",$2.47M
89,The Kissing Booth,(2018),6.1,No metascore,"53,753","
    A high school student is forced to confront her secret crush at a kissing booth.",TV-14,105 min,"
Comedy, Romance            ",Vince Marcello,"['Joey King', 'Jacob Elordi', 'Joel Courtney', 'Megan du Plessis']",No Gross
90,Shoplifters,(2018),8.0,93        ,"53,596","
    A family of small-time crooks take in a child they find outside in the cold.",R,121 min,"
Crime, Drama            ",Hirokazu Koreeda,"['Lily Franky', 'Sakura Andô', 'Kirin Kiki', 'Mayu Matsuoka']",$3.31M
91,Enes Batur,(2018),4.1,No metascore,"53,566","
    Enes Batur has to decide between going to college or being a professional YouTuber.",No cert,110 min,"
Comedy            ",Kamil Cetin,"['Enes Batur', 'Bilal Hanci', 'Atakan Özyurt', 'Fatih Yasin']",No Gross
92,Narcos: Mexico,(2018– ),8.4,No metascore,"53,527","
    The rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in Mexico.",TV-MA,50 min,"
Crime, Drama            ",Diego Luna,"['Scoot McNairy', 'José María Yazpik', 'Fermín Martínez']",No Gross
93,Mowgli: Legend of the Jungle,(2018),6.5,No metascore,"53,451","
    A human child raised by wolves must face off against a menacing tiger named Shere Khan, as well as his own origins.",PG-13,104 min,"
Adventure, Drama, Fantasy            ",Andy Serkis,"['Christian Bale', 'Cate Blanchett', 'Benedict Cumberbatch', 'Naomie Harris']",No Gross
94,Hotel Transylvania 3: Summer Vacation,(2018),6.3,No metascore,"52,092","
    Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family.",PG,97 min,"
Animation, Adventure, Comedy            ",Genndy Tartakovsky,"['Adam Sandler', 'Andy Samberg', 'Selena Gomez', 'Kevin James']",$167.51M
95,The House That Jack Built,(2018),6.8,No metascore,"52,017","
    The story follows Jack, a highly intelligent serial killer, over the course of twelve years, and depicts the murders that really develop his inner madman.",R,152 min,"
Crime, Drama, Horror            ",Lars von Trier,"['Matt Dillon', 'Bruno Ganz', 'Uma Thurman', 'Siobhan Fallon Hogan']",$0.09M
96,Fifty Shades Freed,(2018),4.5,No metascore,"51,758","
    Anastasia and Christian get married, but Jack Hyde continues to threaten their relationship.",R,105 min,"
Drama, Romance, Thriller            ",James Foley,"['Dakota Johnson', 'Jamie Dornan', 'Eric Johnson', 'Eloise Mumford']",$100.41M
97,The First Purge,(2018),5.2,No metascore,"50,668","
    America's third political party, the New Founding Fathers of America, comes to power and conducts an experiment: no laws for 12 hours on Staten Island. No one has to stay on the island, but $5,000 is given to anyone who does.",R,97 min,"
Action, Horror, Sci-Fi            ",Gerard McMurray,"[""Y'lan Noel"", 'Lex Scott Davis', 'Joivan Wade', 'Steve Harris']",$69.49M
98,Alpha,(2018),6.7,63        ,"50,471","
    In the prehistoric past, a young man struggles to return home after being separated from his tribe during a buffalo hunt. He finds a similarly lost wolf companion and starts a friendship that would change humanity.",PG-13,96 min,"
Action, Adventure, Drama            ",Albert Hughes,"['Kodi Smit-McPhee', 'Jóhannes Haukur Jóhannesson', 'Marcin Kowalczyk', 'Jens Hultén']",$35.85M
99,Tully,(2018),7.0,75        ,"49,261","
    A struggling mother of three forms an unexpected bond with the night nanny hired to help with her newborn baby.",R,95 min,"
Comedy, Drama, Mystery            ",Jason Reitman,"['Charlize Theron', 'Mackenzie Davis', 'Ron Livingston', 'Asher Miles Fallica']",$9.23M
